,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
1012,"[Information Systems,B.Sc]","[Lipco,MRS Nzwaki Qeqe,Old Mtutual Money Management,Sanlam Investment Management]","[Developer,Analyst,Software Engineer,Analyst,Software Engineer]",[Data Capturer],Developer,"[Analyst Developer,CRM Systems Development]","[C#,Sql 2000 - Sql 2008,Java,Sharepoint,Vb.Net,Sybase,Silverlight + Wcf,Infopath Forms,Python]",1013
1013,"[Nd: Information Technology,Senior Certificate]","[Barloworld Motor Retail,Cape Peninsula University of Technology,Foschini Data,Silverstar Casoni,South Atlantic Solution]","[Business Intelligence,Database Administrator,Database Administrator]","[Desktop Technician,Student IT Technician]",Senior Business Intelligence Developer,"[IT Specialist Business Intelligence,Database Developer]","[SSAS,POWERVIEW,SSRS,SSIS,Windows (2000, Xp, Vista, 7),Microsoft Office Suite (2000,2003,2007),Sql Server Reporting Servises (Ssrs),Sagent Design Studio,Oracle 11g,Sagent Automation,Sql Server Analysis Services (Ssas),Sql Server Bi Suite,T-Sql,Pl/Sql,Sagent Analysis,Sql Server Intergration Services (Ssis),Vb.Net,Asp.Net,Linux (Redhat, Ubuntu),Java,Oracle Forms Builder,C#]",1014
1014,"[System Support,System Development NQF L5,System Development,PC + Network Technician]","[ALCM Solutions,Atti Polokwane,Burika IT,Business Collaborate,Limpopo Connexion,Limpopo Department of Education]","[Desktop Support,Desktop Technician,System Admin,IT Technician,Network Support,Network Admin,Web Developer,PHP Web Developer]","[System Development,Technician,Technician]",ARCHIBUS SUPPORT AGENT,"[Web Developer,IT Support Intern]","[Trouble Shooting,Hardware Installation,Windows OS,Technical Support,System Support,Software Installation,Software Updates,Microsoft Office,Hardware Testing,Website Development,Network Connections,Network Setup,Linux OS,Network Testing,TCP/IP Config,Libre Office,Website Design,Network Cabling,Printer Setup,Printer Installation,Printer Configuration,Server Softeare Installations,Server Installation,Softwar Development,Application Development,Policy Defining,Active Directory,PHP Programming]",1015
1015,"[Assessor and Moderator,Coaching : One on one,Development of Course Material,Training using different methodologies,Assessor-Merseta,Social Sciences,BASW]","[Astra mining,Centre for Alcohol & Drug Studies,Icas,Mccarthy Training & Development]",[Training Manager],[Training Manager Group Training Manager],Managing own business,"[Training Manager,Facilitator and Developer]","[Assessor,Moderator,Counsellor,Course Developer,Facilitator,Social science degree (honours),powerpoint,Microsoft word,Computer literacy,course developer,coaching and counselling,Training and facilitation,Managing Budgets and finances,People management,Project management,excel]",1016
1016,"[TOGAF 9 Certification,Cobit Version 4.1,Project Management,Itil Foundation V3,Postgraduate Diploma In Management (Distributed Commercial Information Systems),Bachelor Of Science (Information Systems),Senior Certificate]","[Amathole District Municipality,Exponant,IC Blue Technology,In-Form Systems,Isis Information Systems,Management Sciences for Health,Marine & Coastal Management,Metropolitan Odyssey]","[Application Support,SQL DBA,SQL Developer,IT Support Analyst,Delphi Developer,Analyst Developer,Analyst Programmer,Data Analyst,Software Developer]","[Delphi Programmer,Delphi Developer,Delphi Developer,SYSTEM SOFTWARE ENGINEER,Programmer,Programmer]",Assistant Manager: Business Information Systems,"[Senior Data Analyst,Consultant]","[Software Development,System Analysis and Design,Application Support,Database Administration,SQL Development,Software Testing,Report Writing,Communication,Documentation,Teamwork,Conflict Management,ICT Policies Development,COBIT Processes Development,Project Management,IT Service Management,Virtual Server Management,Backup Management,People Management,Quality Assurance and Change Management,ICT Governance,Enterprise Architecture]",1017
1017,[Diploma computer science],"[Cadplan CC,Portal Universe,Softeqa CC,Tupperware Southern Africa]","[C# Developer,Senior C# Developer,C# Web Developer]",[Software Developer],Senior Developer,"[Software Developer,Software Developer]","[MSSQQL,EXTJs,asp .NET mvc,C# backend development,JQuery,Angular]",1018
1018,[Honours Degree],[Gutridge Business Solutions],"[System Development,Database Admin]",[],System Developer,[],"[Python,Php,c#,c++,I can be able to develop software systems using various programming languages such as Java,Microsoft SQL SERVER (2014-2016),Microsoft Dynamics Nav Developer (2009R2 to 2016),Passionate programmer,Software,Networking,Hardware]",1019
1019,"[Information Systems,Bsc Information Systems]","[Chartered Systems Intergration,DVT,Twenty Third Century Systems,Zimbabwe Power Company]","[Lead Software Developer,Software Developer]",[Intern],.NET Developer,"[Senior Software Developer,Software Developer]","[SAP Business one Developer \u2022,Biztalk Specialist \u2022,Oracle Certified Java programmer,Microsoft Certified Associate : Web development \u2022,C#,Fuelphp]",1020
1020,"[International Computer Driving Licence(Icdl),B.Sc Computer Science,Introduction To Computer,Senior Certificate]","[Damelin College,First Call Centre Solutions CC,Gauteng Department of Education,University of Zululand]",[PHP DEVELOPER],"[Student Assistant,Student Assistant]",Software Developer,"[IT Lecturer,Intern]","[Json,Ajax,HTML,PHP,Wamp,Windows,MS suit,Apache,Adobe Suit,Javascript,WORKBANCH,MYSQL,jquery,Bootstrap 3(MVC Framework),WORDPRESS,css,VB,Csharp,Java,Asp .NET,CODEIGNITER,xml,JOOMLA,SOAP,SFTP,C++]",1021
1021,[National Diploma It],[Overend Outsource],[Information Technology],[],Online Web Developer,[],"[CSS,Java,PHP,3ds Max,Photoshop,Visual Basic .NET]",1022
1022,[IT Database development Diploma],[The Greenhouse Company],[BI Developer],[],Software Developer,[],"[Querying data with T-SQL,Provisioning SQL Databases,Implementing a SQL Data Warehouse,Administering SQL infrastructure using T-SQL,Developing SQL databases,Developing SQL Data Models,SSRS SSAS SSIS,Troubleshooting,Fast learner,Very organized]",1023
1023,"[Higher Diploma In Education,Matric]","[Alberview Primary School,Kenton Primary,Leicester Road Primary,Telesure Group]",[],[Educator],Educator,"[Educator,Faciltator Content Developer]","[Regulatory Exam material training,Soft Skills training,Higher Diploma in Education,Microsoft Word,PowerPoint,FAIS and short term insurance training,AS400 sales systems training,Material design and development through Verycoolideas,Excel]",1024
1024,[Ndip: Engineering Computer System],"[Cheil,Praxis Computing,Ryonic]","[IT,computing]",[],Junior Software Developer,"[Junior Software Engineer,Junior Developer]","[Microsoft office,C++,flash,ms sql databases,Angular,ASP,C#,Linq,Cprogramming,Json,Technical Skills,Microsoft Office]",1025
1025,"[Imm Marketing Certificate,Bachelor Of Journalism,Cordon Bleu Cooking]","[Arivia.Kom,Business Day (Johnnic Communications),Famous Five Marketing Agency,I-Net Bridge,Kpmg/Andersen,Logical/3fifteen,This Day Newspaper]",[],"[National Marketing Strategist,Freelance Layout Subeditor,Web Developer,Online Journalist Photo Editor Web Designer]",Owner Famous Five Marketing Agency,"[Brand Manager Media Relations Manager,Senior Business Sub Editor]","[Photoshop,Hmtl,Media Relation Building,Quark Xpress,Microsoft Office,Staff Management,Marketing Stratey,Project Management,Image Ready,Writing & Editing,Budget Management,Financial Administration,Frontpage,Flash,Indesign,Internal Communication,Event Management]",1026
1026,"[Bachelor of Arts Degree: Visual Multimedia,Graphic Design and Web Development]","[BFTS Communications,Dowhile Creatives,Lwelaphanda Business Intelligence,Wsquared / Marking to Market]","[Graphic Designer,Web Designer]",[Graphic & Web Designer Internship],Multimedia Developer,"[Graphic and Web Designer,Desktop Publisher & Web Designer]","[Adobe Premiere Pro,Content Management Systems,Adobe After Effects,HTML,Adobe Dreamweaver,Adobe Photoshop,Mac OS,Adobe InDesign,Adobe Creative Cloud 2017,CSS3,Joomla. Wordpress,Magento,Adobe Animate,Adobe Illustrator,Designing layouts,and corporate communications,producing images,and developing styles for websites,social media artworks,Designing and preparing artworks for print,Contributing creative ideas during corporate brainstorming sessions,Prioritizing workloads and coordinating multiple ongoing projects,Ms Excell,Java Script]",1027
1027,[Infrastructure Management Services Certificate],"[Acin iCloud Solutions (Madeira),Tech Mahindra]","[Web Design,Graphic Design,Web Development,Support Desk,Technical Support,Admin,Admin Ass,Admin Work,Network Support,Marketing,Social Media Manager,Supervisor]",[],Web Developer,[Network Support],"[WORDPRESS,JIRA,FRUITYLOOPS STUDIO,ADOBE ILLUSTRATOR,GIT,PHP,BOOTSTRAP,ADOBE PHOTOSHOP,SUBLIME,HTML,FRUITYLOOPS,CSS,JIRA ATLASSIAN,WEB DESIGN AND DEVELOPMENT,GRAPHIC DESIGNING,LANGUAGES,COMMUNICATION SKILLS,SOUND ENGINEERING,MS OFFICE,DATABASE MANAGEMENT,JQUERY,ZULU,JSON,AJAX,SQL]",1028
1028,[B tech Honours],"[Discovery Ltd South Africa,European Central Bank Frankfurt Germany,Standard Bank - Corporate Investment Banking,Standard Bank of South Africa,STRATE]",[business analyst],"[SME (Manager)/ Senior Test Analyst (Capital Market Application),Senior Business Analyst,Team Leader Analyst Developer Tester (Capital Market Application)]",Senior Business Analyst,"[Quality Assurance Lead/ Senior Business Analyst,RTB Manager for Payments (commodities) Application]","[Microsoft Visio Professional,MS Access,IBM DB2,Microsoft windows server,IBM mainframe z10,HP Quality Centre,SQL Server 2008 R2,Atlassian JIRA,SWIFT message processing]",1029
1029,[Bsc Honours],"[Stanchem PVT,System Alliances]","[SQL Developer,BI Developer,SQL Report Writer]",[],Developer,[Developer],"[Report Design,Maintenance,User Support,Ad Hoc Rpts,.Net,Vb.Net,Sql Server 2000,Asp.Net/Html?Vbscript,Sql Server Reporting Services 2008/2005,Sql 2008/2005]",1030
1030,"[Information Systems,Information Technology,National Diploma (Information Technology)]","[Council for Scientific & Industrial Research (CSIR),The Presidency]","[Junior business Analysist,junior system analyst,Software Development,Database design and admin,junior system analyst]",[],System Analysis,"[Developer,Business Analyst DBA]","[Microsoft Office,Uml, Pmbok And Babok,Business Process Modelling,Data Modelling,Databases,Software Development,Enterprise Content Management,Business Process Management/Workflows,Microsoft Sql Server 2008 R2,Visual Basic .NET,Mysql, Oracle, Html]",1031
1031,"[B.Com Informatics,Principles Of Professional Business Analysis]","[EOH Microsoft Services,Information Gain,PricewaterhouseCoopers (PWC),Sanlam Life,Sanlam Life Insurance,Satreno Consulting,Statistics South Africa,Truworths (Menlyn),University of Pretoria,Yellowdog Software]","[Analyst Developer,C#.NET Developer,.NET API Developer,Solutions Architect,Analyst Developer,BI Developer]","[Manager IT,Senior Manager,Junior Developer,.NET Developer VB & ASP,Software Developer Vb.Net & ASP.NET,Lab Assistant,Service Desk Consultant and Customer Serve,Data Capturer]",Senior Analyst Developer,"[Software Developer,Analyst Developer]","[SQL Server,.Net Developer (C#),SSRS,C# Asp.Net,Vb.Net,WCF services (SOA),CSS,SSIS,Java Script,Sharepoint Dev,Java]",1032
1032,"[Lean SixSigma Green Belt,Senior manager development programme (SMDP),ITIL V3 Foundation,Disciplined Agile Delivery,CMMI for services and development - 2014,Certified Scrum Product Owner,Leadership (Tls),Certified Scrum Master,Programme In Project Management,Naspers Harvard Programme,Asp.Net C# Certificate', u""It'S My Project Manager"", u'Dale Carnegie - Breakthrough To Success,B.Sc Computer Science]","[24.Com,Metropolitan Health,MHG,Peninsula Technikon,Syntel Networks,Visual Information Systems,Zero Zero ONE Digital Construction]","[Agile Manager,Scrum Master,Product Owner,Software Development Manager,Agile Manager,Project manager]","[Technical Team Leader,Production Manager & Senior Developer,Systems Manager,Java Lecturer,Programmer]",Agile Process Manager,"[Scrum Master,Project Manager]","[Scrum Coach,Process Manager,Scrum Master,XSL,Dhtml,Asp (Classic),C++,C Sharp,Iis 4/5/6/7,Microsoft Project 98/2003/2008,sql,XML,Analysis, Design,VBA,VB,Adobe Photoshop,Microsoft Exchange Server 5.5,Hardware And Software Installations,Unix (Freebsd, Linux),Windows 95/98/2000/Nt/Xp Prof/2003 Server,Java,Microsoft Sql Server 2000/2005,MS Visio,MS Office 2008 (word, excel, powerpoint),Scrum,Html,Frontpage 98,Mysql Database With Sql,Pascal,Install Shield Professional 2000,Team Leader/ Manager,Tsql,MVC,Msdos Batch Files,CSS]",1033
1033,[Masters in Computer Science],"[Crafford IT Solutions,INET BFA,OPSI Systems,Vox Telecom]",[Software Developer],[Software Developer],C++ Software Developer,"[Senior Software Developer,Software Developer]","[Javascript,HTML,Ruby,C#,C++,SQL Server,Java]",1034
1034,"[MS Projects 2002,SAP PS Reporting,SAP PM for Plant Maintenance Tasks,SAP FI Accounts Payable,SAP CO Reporting,SAP MM PowerUser,Train the Trainer,SAP PM Maintenance Order Process (MOP),SAP R3 Overview and Logistics,National Diploma Marketing,Senior Certificate]","[Anglo Platinum and Anglo American Platinum,Distillers Corp,Lebone Media,Private,South African Breweries]","[Learning and Development Specialist,E-Learning Specialist,SAP MM Training Content Developer and end-User Training Specialist,LMS Design and Implementation Specialist,E-Book Developer]","[HRD Coordinator and LMS Project Lead,Sales Representative and Merchandising Supervisor,Sales Representative]",Project Manager at Freelance Consultant and SAP MM Training Developer and end-User Trainer,"[Senior Content Developer,Self Employed]","[Sales and Marketing,SAP MM Training Content Developer,ADDIE Model,SAP MM end-User Trainer (Pre and Post Implementation),E-Learning Developer,E-Book Developer,LMS Design and Implementation]",1035
1035,[BComm Marketing And Business Management],"[Air Supreme,Desamark Pty Ltd,Genasys Technologies,Heydon Homes,Liberty Life]","[Operations Manager,Branch General Manager,Marketing Manager,Brand Manager,CRM Manager,Sales Manager,SQL Developer,Application Support]","[Brand Manager,Financial Consultant]",Branch Manager,"[Solutions Developer,Operations Manager]","[Business Management,Excel VBA Development,Reporting,Time Management,Marketing Management,Budgeting,operations management,strategic planning,emarketing,Training,Teamwork,Data Analysis,Emotional Intelligence,Project Management,Critical Thinking,Communication,SQL Development,Risk Management,Web Development,Problem Solving,Graphic Design]",1036
1036,"[Mit (Mastering Information Technology,Matriculation]","[1ST Security \u2013 Clifford Chance - London, England,Accounting Software Solutions,Blemish (Band Name),Bushmans Creek Wines,PSG,RAM Hand-To-Hand Couriers,Totalcare Strategy - (Sanlam),Trinesoft,Wireless G]",[SQL and Qlikview BI developer],"[Hardware Installer,Security Guard,Drummer in Rock Band,Data Capturer,Website Programmer,Wine Promotions]",SQL and Qlikview BI Developer,"[SQL Database Administrator,SQL Database Administrator IT Consultant]","[Sql Dba\\Developer,Sql Server 2005 - 2012,qlikview developer,SSIS,qlikview,Excel,SSRS,General Computer Skills,Microsoft Word,Sales Skills,Networking,Pastel Evolution,Javascript, Visual Basic 6, Asp]",1037
1037,"[BSocSci,Matric]","[Actuaries on The Move,Aids Risk Consulting,Cell Consys,Potential Unlocked,The Metropolitan Foundation,Vaultlife]",[],"[C# & PHP Developer,PHP Developer,PHP Developer]",C# Xamarin Developer,"[PHP & Air Developer,PHP & Air Developer]","[OOP,PHP,C#,Xamarin,AJAX,SQL,CSS,HTML,JS,Time Management,TimeManagement]",1038
1038,"[Project Management Diploma \u2013 Slp,Sap R/3 Reporting Workshop 4.0 (Wzac10),Sap Certified Technical Consultant,Senior Certificate]","[Gold Circle,South African Transport Services,TAB Kwazulu Natal]",[],"[System and Database Administrator,DBA Developer,Programmer,Cobol Programmer]",Information Technology Executive,"[Management Information Services Manager Senior,SAP Database Administrator]","[Unix Shell Scripting (Automation),Oracle Dtabase Administration,Unix Administration,C/C++/Proc Programming,Microsoft Office Automation,It Project Management,Sap Basis Administration,Html, Vbscript Javascript Development,Cobol Programming]",1039
1039,"[MBA,Production And Operations Management,Matric]","[Amabhuku,Book Palace,Hubbab,Infoplan,International Thomson Publishing, Southern Africa,J&H Educational Books & Publishers, CC,Thomson Learning]",[],"[Manager,Sales Executive,Sales Analyst and Administrator,Iso 9000 Quality Assurance Consultant]",Product Developer,"[Activity Co-Ordinator,Manager]","[Decision Making,Creative Thinking,Business Concepts Development And Implementation,Computer Literacy,Client Confidence Building,Management,Goal Setting And Goal Achieving,Analyst Of Sales And Other Data,Communication,Negotiation]",1040
1040,[Engeneering],"[Millennium Tech,VCS]",[BI Developer],[],BI Developer,[BI Developer],"[SSAS,SSIS,SQL SERVER DBA,Power Bi,SSRS,.NET]",1041
1041,"[Certificate,Pc Repairs]","[JDG Financial Services,JDG Group,Maravedi Group]","[Junior Developers,Hr Administrator,specialist]",[],Junior Developer,"[Junior Developer and Support Officer,Admin Clerk]","[Programming Languages \tVisual Basic C# HTML/5 JScripts/JQuery CSS/Bootstrap Server \tSQL Server 2008/10 Reporting Services Server 2008 IIS 6/7 ABAP DOM\\CSS\tCreate Programs(SE38/SE80etc) UI Debug errors tracing \t Others \tAdvanced Excel Advanced Access Windows XP and 7 OS,Microsoft Word,Computer Literacy,Excel Data Analyst,Excel  Advanced Formulas,Access,Window Applications,Sap Ecc,Vb .NET,C#,Internet Information Services,Pc Repair,sap crm,Sql Server,Sap Abap]",1042
1042,[B.Com],"[Hippo / Telesure,IBM,Nedbank,Reverside Software,Standard Bank]","[Software Developer,Software Specialist]","[Java Developer,IBM Rational Technical Specialist,IBM Graduate Programme]",Analyst Programmer,"[Senior Web Developer,.NET C# Developer]","[HTML,Rational Clearquest,Web Services/ Wcf,Asp.Net,angularjs,C#,Rational Jazz,XML,Entity Framework/ Ado .Net,Visual Studio 2008,Rational Team Concert,Rational Requirements Composer,Rational Quality Manager,mvc,Rational Clearcase,Sql Server,Java,Rational Appscan]",1043
1043,"[Hyperion Essbase Analytics Certification,It3,Matric]","[ABSA Bank,BB Cereals,Bias,Blake&Associates,Duferco Steel Processing,Edward Nathan Sonnenburg,Hirt&Carter,Metropolitan,Naartjie Software Solutions,Sanlam,Simba,Vodacom,Woolworths Financial Services]","[MIS,Project Manager,Data Analyst,Solutions Analyst,MI manager,Solutions Analyst]","[Management Information Specialist,Data Analyst,IT Support Specialist,Labels Systems Engineer,Software Developer SQL DBA,SQL DBA,Clerk Infrastructure,IT Events Management Co-Ordinator,IT Events Management Co-Ordinator,IT Events Management Co-Ordinator,RBS Consultant Assistant,Customer Support Programmer,Stock Controls Clerk,Administration Clerk,Assistant to Stock Take,Dispatch Clerk]",MI Manager,"[Systems Engineer(BI BA Sharepoint),Management Information Specialist Teamleader]","[Business Intelligence,Business Analyst,Hyperion,Project Management,All Ms Packages,Vb6,Sql,Sharepoint,BI]",1044
1044,[BA Computer science],[Connected World Solutions],"[Software Development Manager,senior developer,Archtect]",[],Software Developer Programmer,[],"[Java,GIS,.net,MapInfo Technology,C#,SQL Server,Oracle,JavaScript,Business Intelligence,Typescript,Html,Angular]",1045
1045,"[Digital marketing,National Certificate:IT:Systems Development NQF5,It And Computer Science Nqf Level 3]",[Smartlink ITSolution],[Digital Specialist],[],Developer,[],"[ITIL,Online marketing,HTML5,MySQL,JAVA,Javascript,VB.net.CSS,SEM,Analytics,SEO]",1046
1046,[BTECH],"[ABSA,CSC INDIA,IBM INDIA,Liberty Life]",[Senior Developer],[Software Developer],Senior Developer,"[Senior Developer,SENIOR DEVELOPER]","[JCL,TSO-ISPF,Remedy AR-Client,DB2,SDSF,COBOL,SQL,IBM-Debugger,CICS,VSAM,RACF,QMF,SPUFI,RNAV,FILEAID,IMS,Endeavor,CA-7,CONTROL-M,INSYNC,EASYTRIEVE,TELON.,Expeditor,SECADM-COADM]",1047
1047,"[Software Testing Intermediate,Software Testing Foundation,Information Technology,Mattric Exemption]","[Derivco,Firstrand Bank,FNB]","[Data Analyst,Business Intelligence Analyst]",[],Business Intelligence Analyst,"[Junior SQL Developer,Configuration Engineer and Software Tester]","[Configuration Engineer,Business Intelligence Analyst,Software Tester,SQL query analyst,Microsoft Office,SharePoint,SharePoint Designer]",1048
1048,"[Information Technology,Information Technology,Information Technology]","[Council for Scientific & Industrial Research (CSIR),Nelson Mandela Metropolitan University,Telkom]","[C# Software Developer,Information Security Researcher,Lecturer,Python Developer]",[],Software Developer and Researcher,"[Software Automation Tester,Part Time Lecturer]","[C#,Html,Python,ASP.NET,Agile development,ITIL,Java Script,Software Testing]",1049
1049,[National Diploma in Information Technology(IT)],[First National Bank],"[BI Specialist,Data Analyst]",[],Java Developer,[],"[Good problem solving and analytical skills -,Good interpersonal skills -Highly developed communication skills and highly developed interpersonal skills. -,Solution and deadline driven giving attention to detail- Able to handle multiple tasks,Ability to manage time effectively -,Self-starter with a high level of self-discipline -,Good dynamic and team building skills -,Ability to work under pressure -,Hibernate  and relational databases. QUALIFICATION: -National Diploma in Information Technology(IT),Java 2EE. -Web development: HTML,Software development: Java 2SE,JavaScript and WSDL. -Extensive knowledge of JDBC / ORM Tools,CSS]",1050
1050,"[Developing .NET Web Applications W/ Sql Databases,Oracle 9i Forms Developer,Information Technology]","[Arivia-Kom,Business Connexion,Kubukeli Consulting Agency,SITA]",[],"[Oracle Developer Trainee,IT Technician]",Software Developer,"[Software Developer,Data Mining]","[Web Designind And Creation,System Testing,Web Application Evelpment,System Analysis And Documentation,Computer Programmer,Data Mining,ASP,Javascript,Oracle Programmer,System Specification And Documentation]",1051
1051,"[B.App.Soc.Sci Degree,Higher Certificate in Interpersonal Communication and Counselling Skills,Marketing Management N5', u""Icdl (International Computer Driver'S Licence)"", u'Grade 12]","[Ambition 24 Hours,Baker Hughes Incorporate,Grove Information Systems,Manpower Recruitment,PAG (Professional Assignment Group),Petroplan,Square Kilometer Array (SKA) South Africa,Teleresources,The Peninsula Beverage Company]","[Human Resources,Recruitment and Selection,Administrator,Recruitment and Selection,Administrator]","[Talent Acquisition Specialist,Recruiter,Account Developer,Recruitment Consultant Part-Time,New Business Developer IT Sales,Recruitment Consultant Education Sector,Recruitment Consultant]",Recruitment Officer,"[Senior Recruitment Consultant,Specialist Talent Resourcer]","[Head Hunting,Executive Search,Competency Based Interviewing,MS Office,Business Communication,Microsoft Excel,Microsoft Word,Outlook,Taleo,Google Apps,SAP,Itris,Adapt (Crm)]",1052
1052,"[License To Lead,Oraclebi Discoverer Administrator,Oracle Advance Pl Sql,Object Oriented Analysis And Design Using Uml,Bachelor Of Commerce: Bcom,Management,Matric]","[2cana Solutions,Discovery,Gijima AST,Helios ITS,Infowave,Mpande High School,Software Futures,Standard Bank]","[Oracle Systems Analysts,Team leader,Development  manager,Team leader,Development  manager]","[Oracle Developer,Oracle Developer,Oracle Developer Analyst,Oracle Analyst Developer,Oracle Developer,Tutor Grade 12]",Oracle Developer,"[System Analyst Team Leader,Report Writter Programmer]","[Oracle Forms,Pl Sql,Oracle Queues,Oracle Reports,Oracle Workflow,SQL,Compass - Sunguard System,System Analysis,Jad Sessions,Unix,Functional Spec Writing,System Documentation,Latex,Oracle Designer,Java,Perl,Oracle Discoverer Administrator,Oracle Discoverer,C++,asp,Microsoft Access,Html, Xsl, Xml]",1053
1053,"[D.Dip :Information Technology,national diploma,matric]",[Microzone],[Programmer],[],Web Developer Trainee,[],"[gembox,mvc,angularjs,sql,microsoft office,C#,hardware and software,programming(java,ionic,java script,html,css,jquery,crystal report,telerik app,dplx report,.net frameweork,cordova mobile app,programming]",1054
1054,"[Microsoft Certified Professional,Master Of Technology (IT),Bachelors Of Technology (CSE)]","[Capgemini,IKEN Solutions,Liberty Life Group,Sebata Municipal Solutions]","[Senior C# Developer,Senior C# Web Developer,Team Lead,C# Developer,Senior Software Developer]",[Senior Software Engineer],Sr .NET Developer,"[Senior C# Developer/ Team Lead,Technical Lead]","[PL-SQL,Exception Handling,JavaScript,Visual Studio,Web API,JQuery,IIS,SQL Server,JSON,HTML,Web Services,XML,Silverlight,Active Directory,Ninject (DI Tool),MVC,WCF,CSS,Entity Framework,REST Services,SSRS,TFS,Crystal Reports,SVN,ADO .NET,Source Tree,GIT,SQL SERVER,ASP .NET,C#,asp .NET,OOPs,sql server,PL SQL,angularJs,Octopus,Android Studio,bootstrap]",1055
1055,[B.Comm (Computer Science)],"[Altech Isis,Datacash,Progressive Dynamics Consulting,Wamtechnology CC]",[Technical or Team Lead],"[Senior Developer Team Lead Risk Development,Developer]",Analyst Programmer Team Leader,"[Development Manager,Technical Lead Risk Development]","[.Net,XML,T-SQL,C#,CSS,HTML/XHTML,Object Oriented Design,AJAX,ORM,jQuery,TDD,WCF,TFS,ASP.Net MVC,Dependency Injection (MEF),Java,VB.Net,Agile Methodologies,PCI-DSS,Subversion]",1056
1056,"[B.Com Information Systems,B.Com Information Systems]",[Panamark],[],[],Networks Administrator In-House Developer,[],"[Windows 2000 Server, MS Exchange Server 2000, IIS,Tcp/Ip Networking,Web Development (Html),Linux Redhat, Visual Studio .Net,MS SQL Server 2000, ASP programming,Vb 6.0, Macromedia Flash]",1057
1057,[B.Sc Infromation Systems],"[Clorik Consultants,Ethics Consultants Botswana (ECB),Midlands State University]","[Analyst Programmer,Web Developer,Web Applications Developer,PHP Developer,Front-End Developer,.NET Developer,ASP .NET Developer,Junior Java Developer]",[],Analyst Programmer,"[Web Developer,IT Intern]","[Object Oriented Programmer -Fluent in PHP -Experience in Microsoft languages -C#,php,ASP.NET and MVC -Java -RWD website design,VB.Net,-MySQL -MsSQL -Oracle 11g -DB2,codeignter,zend,laravel]",1058
1058,"[Diploma In Information Technology,Baccalaureus Procurationis]","[Business Connexion (BCX),Cymaziz Computer Services,EOH Mthombo,Little Buddha Digital,Navigor: CRM and Analytics business unit of EOH Mthombo,NvisionIT,Tetrad Group,Vicitude Business Solutions]","[Software Developer,Programmer,Web Developer,.NET Developer,C#.NET Developer,ASP .NET Developer,CRM Developer]","[Senior Siebel Developer/Consultant,Senior Software Developer,Siebel/Integration Developer/Consultant,Senior Consultant,Senior Software Developer]",MS CRM/C# Developer,"[Developer,Oracle - Siebel CRM Senior Developer]","[Web Services,C#,JavaScript,ASP.NET,MVC,SQL,Microsoft Dynamics CRM 2011/2013/2016,CSS,JQuery,HTML,XML,Angular,Sage Accpac CRM,Oracle Siebel CRM,Visual Studio Team Foundation Services 2015,Oracle SOA,IIS,Microsoft SharePoint]",1059
1059,"[MCSD,Bcom degree]","[Avanade,PRASA,Sebata Municipal Solutions]",[C# Developer],[],C#.NET Developer,"[Application Developer,Analyst Programmer]","[C#,.NET,jquery,javascript,ASP .NET,MVC,Java]",1060
1060,"[B.Sc,Mscd .NET 2003,ITIL,Mcsd Visual Basic 6,Senior Certificate]","[Brainware Consulting,CIS,Cummings Software,Internet Solutions,Isodoc,Ixchange,K Concepts,Multichoice Africa,Oasis Business Systems,Renaissance Software,Scope Logistical Solutions]",[],"[Senior Programmer,Senior Programmer,Senior Programmer,Senior Programmer,Senior Programmer,Systems Analyst Analyst Programmer,Software Engineer,Software Developer]",Back-End Integration Specialist,"[Senior Programmer,Senior Programmer]","[Tcp/Ip Programming,Com / Com+,MS SQL Server (6.5 - 2005),Http Programming,Delphi,XML,C#,Msmq,Asp.Net,Microsoft Excel,Soap / Web Services,Pop3 / Imap / Smtp,Html / Dhtml,Directx,Pascal,Visual Basic 6,Microsoft Access,C++,Active Directory,Java,X86 Assembler,Crystal Reports,IPX,Smpp,Active Reports,Interbase,Mysql,Db2 Udb,MS Exchange Programming,Pick D3]",1061
1061,"[B.Tech Information Technology,National Diploma Information Technology]","[CCD Computer Component Distributors,Central University of Technology, Free State,Itron Metering Solutions,Odyssey Point of Sale Software]",[SAS Programmer or Clinical Data Programmer],"[Development Software 1 Supplementary Instructor,Technical Manager]",Operations Coordinator,"[Programmer Developer,Student Lab Assistant]","[SQL,Data Mining,Programming]",1062
1062,"[D Litt,Ma (Cum Laude),Ba(Hons),Hed,BA]","[Afda,Gauteng Education Department,Hoerskool Warmbad,Midrand Graduate Institute,Phateng Comprehensive School,Pro Arte Alphen Park,Staatspresident CR Swart,Tersia King Learning Academy,The Oxford School]","[Manager,Principal,Facilitator,Academic Director,Tutor,Principal]","[Accreditor and Course Developer,Undergraduate Principal,Principal,School Principal,School Principal,Deputy Principal,Head of Department Human Sciences,Educator]",Dean,"[Head of Programme,Principal]","[Student Development,Education Management,Accreditation,Curriculum Design,Staff Development,Teaching,Management,Facilitation,Curriculum Development And Enhancement,Computer Software,Budgeting]",1063
